State,City,Station,LastUpdate,Latitude,Longitude,PM2.5,PM10,SO2,CO,OZONE,NO2,NH3,Unknown
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-11-2023 12:00:00,16.5150833,80.5181667,,,,,,,,
Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",20-11-2023 12:00:00,14.675886,77.593027,,,,,,,,
Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",20-11-2023 12:00:00,13.204880,79.097889,,,,,,,,
Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",20-11-2023 12:00:00,14.465052,78.824187,,,,,,,,
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-11-2023 12:00:00,16.9872867,81.7363176,,,,,,,,
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",20-11-2023 12:00:00,13.67,79.35,,,,,,,,
Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",20-11-2023 12:00:00,13.615387,79.409230,,,,,,,,
Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",20-11-2023 12:00:00,16.536107,80.594233,,,,,,,,
Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",20-11-2023 12:00:00,16.486692,80.699436,,,,,,,,
Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",20-11-2023 12:00:00,16.509717,80.612222,,,,,,,,
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",20-11-2023 12:00:00,17.72,83.3,,,,,,,,
Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",20-11-2023 12:00:00,26.071318,91.87488,,,,,,,,
Assam,Guwahati,"IITG, Guwahati - PCBA",20-11-2023 12:00:00,26.2028636,91.70046436,,,,,,,,
Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",20-11-2023 12:00:00,26.10887,91.589544,,,,,,,,
Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",20-11-2023 12:00:00,26.187500,91.744194,,,,,,,,
Assam,Guwahati,"Railway Colony, Guwahati - PCBA",20-11-2023 12:00:00,26.181742,91.78063,,,,,,,,
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",20-11-2023 12:00:00,26.349082,92.68449,,,,,,,,
Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",20-11-2023 12:00:00,26.446912,91.439057,,,,,,,,
Assam,Silchar,"Tarapur, Silchar - PCBA",20-11-2023 12:00:00,24.82827,92.79525,,,,,,,,
Assam,Sivasagar,"Girls College, Sivasagar - PCBA",20-11-2023 12:00:00,26.987634,94.636574,,,,,,,,
Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",20-11-2023 12:00:00,26.146529,87.454184,,,,,,,,
Bihar,Arrah,"New DM Office, Arrah - BSPCB",20-11-2023 12:00:00,25.5626095,84.663264,,,,,,,,
Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",20-11-2023 12:00:00,24.75746,84.366208,,,,,,,,
Bihar,Begusarai,"DRCC Anandpur, Begusarai - BSPCB",20-11-2023 12:00:00,25.444266,86.140169,,,,,,,,
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",20-11-2023 12:00:00,26.80365,84.51954,,,,,,,,
Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",20-11-2023 12:00:00,25.251013,86.989001,,,,,,,,
