Age,Gender,Education,Introversion Score,Sensing Score,Thinking Score,Judging Score,Interest,Personality
19,Male,0,9.4708,7.141433769,6.03696,4.360278347,Unknown,ENFP
27,Female,0,5.85392,6.160195144,0.80552,4.221421071,Sports,ESFP
21,Female,0,7.08615,3.388433121,2.66188,5.127319577,Unknown,ENFP
28,Male,0,2.01892,4.823624399,7.30625,5.986550261,Others,INTP
36,Female,1,9.91703,4.755080033,5.31469,4.67721296,Technology,ENFP
25,Male,0,7.66292,5.758030382,1.97014,4.56390716,Others,ENFP
26,Female,1,2.73185,5.898909563,3.64832,5.800524624,Unknown,INFP
27,Female,0,5.24958,5.963289979,1.16176,5.873350204,Sports,ENFJ
29,Male,0,8.86018,3.681569943,7.78505,1.640560077,Others,ENTP
24,Female,0,1.62636,5.160906306,7.25476,3.825848916,Technology,INTP
20,Male,0,4.44978,6.089878211,5.61132,5.512740734,Unknown,ENFP
29,Female,1,7.69101,4.198218462,9.22787,6.078682814,Arts,ENTP
24,Male,1,6.91714,4.558755433,0.54447,6.195428518,Technology,ENFP
21,Male,1,6.98615,5.513660308,3.99711,3.810431702,Others,ENFP
23,Male,1,5.02108,4.806293808,4.41489,4.865309178,Unknown,ENFP
20,Male,1,1.05075,3.538830242,3.58539,4.904498268,Sports,INFP
34,Female,0,2.97406,6.561362516,8.01507,5.291649955,Unknown,ESTP
25,Male,1,5.95661,4.675505802,4.82753,3.576974954,Technology,ENFP
22,Male,0,1.9881,5.297795822,1.94376,4.947718264,Unknown,INFP
22,Male,0,4.8135,6.218506802,4.97504,4.52122469,Others,ENFP
22,Male,0,7.28217,3.892035125,6.73086,2.879986213,Others,ENTP
23,Male,1,5.14144,5.672516544,1.59071,5.465588715,Others,ENFP
35,Male,1,3.60059,3.899557985,0.74605,5.043054737,Technology,INFP
23,Male,1,7.50955,3.94689028,9.52882,5.773542591,Arts,ENTP
25,Male,1,3.89745,5.073470127,3.24135,5.56524268,Unknown,INFP
24,Male,0,5.99374,5.213776166,9.33049,4.250437323,Sports,ENTP
31,Male,0,3.46634,4.72541819,3.51421,3.769920052,Others,INFP
21,Female,0,8.32854,5.210637169,0.00892,2.353765162,Unknown,ENFP
25,Female,1,2.31423,3.425540266,3.2825,4.185116015,Sports,INFP
27,Male,0,1.24016,4.655823553,4.47015,4.961120863,Unknown,INFP
28,Male,0,3.69727,5.729584074,8.49998,4.79668746,Arts,INTP
30,Female,1,1.16427,5.445305289,4.1477,3.719282036,Unknown,INFP
21,Female,0,6.54908,7.150250998,7.07023,0.979041633,Unknown,ENTP
26,Female,1,1.1512,6.613682126,5.71533,4.196308904,Arts,ISTP
26,Male,1,1.93216,2.927405135,5.2663,5.818958556,Arts,INFP
22,Male,1,3.51518,6.821362879,1.21039,4.213387442,Sports,INFP
22,Male,0,2.87589,5.281029337,9.58686,5.867620793,Sports,INTJ
27,Female,0,2.05424,4.541825361,4.42055,5.792083261,Sports,INFJ
29,Female,0,1.55425,6.075084477,8.86643,6.041593414,Unknown,INTJ
34,Male,0,0.92829,3.502228223,1.39411,5.562323027,Arts,INFP
24,Male,0,4.80809,4.649152293,6.91042,2.719053032,Others,ENTP
27,Male,0,2.88572,4.748492595,6.72599,2.789494511,Unknown,INTP
22,Male,1,8.83877,2.755956876,5.51738,4.228300739,Arts,ENTP
28,Male,1,7.15033,6.180997453,9.10358,2.731917238,Others,ESTP
31,Female,0,9.7164,5.715513924,9.69858,1.416639121,Sports,ENTP
22,Male,0,5.01007,6.214673718,5.50224,4.571004365,Unknown,INFP
38,Male,0,3.22195,4.781985047,9.96685,1.776564602,Arts,INTP
26,Male,0,3.30948,6.725534178,5.46392,1.128448412,Technology,ISFP
21,Male,0,4.97157,5.600313613,2.38771,4.919514439,Unknown,ENFP
27,Male,0,4.10376,3.424349246,9.21442,4.018208001,Others,INTP
32,Female,1,7.14005,3.24628849,7.23628,1.075461784,Unknown,ENTP
30,Female,0,0.63652,4.268877195,4.34841,3.32629084,Arts,INFP
25,Male,0,2.61486,2.749260199,0.31678,5.079193221,Arts,INFP
24,Male,0,6.7229,6.987647195,1.52075,6.091187976,Others,ENFJ
24,Female,1,4.84446,4.209471754,1.78546,3.262368018,Others,ENFP
29,Male,1,3.92588,4.042913518,8.62344,7.000205691,Unknown,INTP
39,Male,1,8.74006,4.737346808,1.09096,2.31805147,Others,ENFP
20,Female,0,1.8579,7.277115476,8.32314,7.324711972,Technology,INTJ
30,Male,0,3.67563,4.661359759,9.98146,4.475970343,Others,INTP
27,Male,0,9.7636,4.930084692,4.16457,2.99121727,Sports,ENFP
23,Male,1,6.69518,7.773150783,2.81202,4.291120994,Unknown,ESFP
28,Female,0,8.70874,1.951317452,0.11728,3.067885168,Unknown,ENFP
27,Female,0,9.02568,4.991798033,2.9843,4.197855853,Unknown,ENFP
25,Male,1,3.67993,5.041828909,0.60099,4.961467163,Arts,ENFP
22,Male,0,6.48659,4.815126712,7.45765,6.078383221,Unknown,ENTJ
27,Female,0,8.34913,5.104999807,8.6248,6.148033105,Unknown,ENTJ
28,Male,1,2.92533,3.170123367,3.09441,3.562360196,Arts,INFP
47,Female,0,5.06147,6.7496634,1.80485,4.089199068,Unknown,ESFP
23,Female,1,2.94468,4.69086836,7.73016,4.543081318,Sports,INTP
30,Female,1,9.95603,4.743155467,5.179,5.310655365,Unknown,ENFP
26,Female,1,8.43551,4.469702772,8.25421,5.150816136,Arts,ENTP
21,Male,0,9.78939,5.831074079,1.06032,5.161902315,Arts,ENFP
22,Female,1,9.38623,3.772852414,9.43122,3.383818714,Technology,ENTP
30,Male,0,6.13201,1.866041947,6.46212,4.358942737,Others,ENFP
47,Female,0,2.6108,2.941642534,3.68599,4.220359203,Unknown,INFP
26,Male,0,8.10186,4.055699067,9.56716,3.933497061,Others,ENTP
23,Female,0,5.1066,5.264303219,4.58247,4.18813455,Sports,ENFP
24,Female,0,2.92697,5.375598927,3.29911,3.460800047,Sports,ENFP
27,Female,0,4.11601,4.664286321,0.88407,3.39990839,Unknown,ENFP
30,Female,1,3.96371,2.989769549,0.14533,4.200676417,Technology,ENFP
30,Male,0,4.70259,6.750805212,2.28233,4.747689226,Unknown,ISFP
22,Male,1,4.69125,5.567801761,9.53545,5.138228277,Unknown,INTP
28,Male,0,5.22666,5.285037479,0.77628,4.718098074,Unknown,INFP
27,Male,1,8.81932,7.148801883,9.8296,4.679394235,Others,ESTP
26,Male,1,4.01227,5.630803205,7.14305,4.848719252,Unknown,INTP
36,Male,1,7.02027,6.146060992,9.88683,4.777270419,Unknown,ESTP
29,Male,0,6.02688,4.377779119,5.17199,6.753004057,Others,ENFJ
25,Female,0,5.78328,5.059713197,0.24059,4.790964654,Arts,ENFP
23,Female,1,6.20355,5.695015307,3.63981,5.347447635,Others,ENFP
24,Female,1,2.49094,5.120450905,9.11963,7.011489392,Technology,INTP
21,Male,0,3.3264,6.124204476,8.97433,4.613983205,Unknown,INTP
28,Female,1,1.42492,3.763637796,8.38532,1.775923108,Unknown,INTP
20,Male,1,2.90106,5.491600039,3.48892,5.535939003,Unknown,INFP
29,Male,0,6.33308,4.228796087,3.11205,5.303421225,Unknown,ENFP
27,Male,0,3.90542,2.938409868,2.54031,3.898907263,Technology,ENFP
22,Male,1,7.5553,4.91411873,3.70655,5.443546936,Unknown,ENFP
22,Female,1,1.1485,5.104174692,4.9289,4.016751488,Arts,INTP
23,Female,0,0.74139,4.50553695,9.02382,6.068154346,Sports,INTJ
27,Male,0,4.48863,7.004542897,7.87407,4.245218586,Technology,ISTP
22,Male,1,6.90352,5.631562254,9.74401,6.645654703,Technology,ENTP
25,Male,0,7.24826,3.875714149,9.26767,5.529817556,Arts,ENTP
34,Male,0,4.79883,4.018182115,9.71671,3.240733129,Unknown,INTP
24,Male,1,9.61329,5.345169969,9.57143,2.967172486,Unknown,ENTP
26,Male,0,3.85787,2.772858824,1.85235,7.172083208,Sports,INFJ
25,Male,0,6.49196,4.733563362,4.04732,2.21482313,Technology,ENFP
20,Male,1,8.184,5.038789983,8.27629,3.793698293,Arts,ENTP
22,Male,0,9.07512,5.922086985,2.98314,1.209392438,Unknown,ENFP
26,Male,1,8.75662,5.547587792,8.85726,5.57317727,Sports,ENTP
36,Female,0,0.69109,6.537211775,3.61818,4.5669541,Arts,ISFP
23,Female,0,7.09897,4.809890531,2.0655,2.749851383,Technology,ENFP
27,Female,0,4.81752,4.645792995,9.45952,7.310467512,Technology,ENTJ
30,Male,0,4.59541,4.134060395,0.96106,4.63461624,Sports,INFP
24,Male,0,4.33123,4.054720174,9.23739,5.923990976,Unknown,INTP
24,Male,1,8.25835,5.361698132,9.06609,5.571615559,Sports,ENTP
30,Female,0,6.52718,3.945500075,3.61765,6.497612684,Technology,ENFJ
20,Male,0,5.12546,6.759948058,1.0033,5.717568296,Others,ENFP
20,Female,0,6.3398,5.329262509,6.7222,3.348811338,Unknown,ENTP
31,Male,0,9.25454,4.353129954,2.08421,3.99364501,Unknown,ENFP
18,Female,1,1.33374,4.783155561,8.41633,2.94593267,Arts,INTP
28,Male,0,9.25882,4.838477373,8.58645,4.64214768,Arts,ENTP
32,Female,1,4.98386,6.727787194,1.8721,4.097316659,Technology,ESFP
24,Male,1,1.85721,5.348360477,8.39571,3.062799067,Unknown,INTP
25,Male,0,4.81068,4.414408916,3.79947,4.444946,Unknown,ENFP
21,Male,0,8.30066,6.221359958,2.45308,3.7831531,Others,ENFP
23,Male,0,7.93864,5.3939641,8.93641,3.810577568,Technology,ENTP
29,Male,1,8.75537,2.477170174,7.00014,5.926819339,Arts,ENTP
25,Male,1,6.45611,5.373341616,9.23381,6.818237392,Arts,ENTP
35,Male,1,0.85148,5.410658599,0.36507,6.250353895,Sports,INFP
23,Male,0,3.94975,3.715324449,8.95716,5.754326507,Arts,INTP
22,Male,0,1.66902,5.227066545,0.00512,4.273595851,Arts,INFP
23,Female,1,5.46551,5.599100909,0.6946,3.860430698,Unknown,ENFP
29,Female,1,5.33276,4.318268345,9.72695,3.976338815,Sports,ENTP
21,Female,1,5.58507,5.931606031,9.38114,6.021564189,Arts,ENTP
31,Male,1,0.78801,6.102747816,3.28378,3.405387741,Technology,ISFP
35,Female,0,8.59994,4.944804473,3.4622,5.62662633,Others,ENFP
20,Female,1,8.67711,5.703871799,6.48588,6.662401436,Unknown,ENTP
27,Female,1,8.56987,2.181693873,7.83288,5.979806326,Others,ENTP
32,Male,0,1.69321,5.729990562,8.02321,4.615976838,Others,INTP
22,Male,0,8.26288,4.702958815,1.86774,4.449210423,Arts,ENFP
24,Male,0,9.81378,4.941545882,7.53466,1.037518855,Unknown,ENTP
20,Male,0,9.47975,6.825948389,6.56857,2.585310878,Unknown,ENTP
31,Male,0,3.04666,4.559349558,5.51476,5.381918781,Arts,INTP
24,Female,0,1.18162,6.806628388,8.82819,2.255625824,Arts,ISTP
20,Female,1,3.34062,4.976152495,2.69699,7.783597233,Technology,ENFP
32,Female,0,5.76787,3.008325103,8.25259,5.478008585,Sports,ENTJ
33,Male,0,1.24978,6.782725249,1.15147,3.021293127,Arts,ISFP
29,Male,1,6.10358,2.316982828,9.03753,0.191477392,Technology,ENTP
25,Male,1,6.85826,5.403843282,1.74059,5.144699084,Unknown,ENFP
25,Female,0,3.75144,7.168367942,0.91103,4.702092685,Technology,ESFP
24,Male,1,2.35047,5.345315972,4.18082,2.505527231,Arts,INFP
33,Male,0,3.29166,5.487499863,3.94861,5.030778489,Others,INFP
24,Male,1,9.46984,6.310358572,3.74722,1.180716677,Others,ENFP
24,Male,1,4.82878,4.135995357,2.78915,4.947634087,Sports,ENFP
22,Female,0,0.96434,4.684719135,7.49428,4.368416483,Unknown,INTP
25,Male,0,9.48919,5.555174362,1.76597,6.002040175,Arts,ENFJ
32,Male,0,6.61228,4.279463082,1.24773,5.452347319,Technology,ENFP
27,Female,1,9.72725,2.45893055,8.8892,5.230669825,Unknown,ENTP
21,Female,0,7.10729,4.6388466,0.50247,2.045109804,Arts,ENFP
30,Female,0,7.99996,3.799983909,9.37863,2.761149873,Sports,ENTP
