customer_id,age,gender,signup_date,last_purchase_date,recency_days,total_purchases,avg_purchase_value,total_spent,visits_last_30d,visits_last_90d,app_logins_last_30d,support_calls,complaints,loyalty_member,promo_emails_sent,promo_clicks,promo_response_rate,avg_days_between_purchases,frequency_6m,monetary_6m,engagement_score,churn_prob,churn_label
CUST1000,56,Male,2024-05-18,2024-11-02,325,13,33.08,430.04,1,3,1,0,0,1,3,0,0.0,37.9,1,37.51,0.376,0.591,1
CUST1001,69,Male,2021-11-21,2025-09-23,0,14,105.77,1480.78,0,3,4,0,0,1,5,3,0.6,100.1,3,192.73,0.565,0.003,0
CUST1002,46,Male,2020-09-25,2025-05-14,132,13,71.01,923.13,1,7,3,1,0,1,9,2,0.222,140.3,1,58.37,0.662,0.694,1
CUST1003,32,Male,2023-11-04,2025-02-03,232,12,66.28,795.36,1,2,2,0,0,1,4,0,0.0,57.4,0,0.0,0.375,0.897,1
CUST1004,60,Male,2023-07-23,2025-09-12,11,14,33.73,472.22,1,1,1,1,1,1,9,2,0.222,56.6,4,112.76,0.31,0.0,0
CUST1005,25,Male,2023-01-13,2024-10-13,345,17,52.95,900.15,1,4,2,0,0,0,0,0,0.0,57.9,3,145.43,0.263,0.269,0
CUST1006,38,Male,2020-04-17,2025-08-09,45,13,30.38,394.94,0,5,1,0,0,0,8,0,0.0,152.7,1,27.55,0.265,0.521,1
CUST1007,56,Female,2024-07-18,2025-08-21,33,16,45.27,724.32,5,7,1,0,0,1,0,0,0.0,27.0,3,94.98,0.554,0.115,0
CUST1008,36,Female,2021-11-24,2025-07-08,77,11,23.73,261.03,3,5,1,0,0,0,7,0,0.0,127.2,2,46.86,0.265,0.25,0
CUST1009,40,Female,2021-06-12,2025-02-18,217,11,107.67,1184.37,2,4,3,0,1,0,8,0,0.0,142.2,3,202.48,0.306,0.361,0
CUST1010,28,Female,2025-03-31,2024-11-27,300,7,37.29,261.03,1,3,2,0,0,0,8,0,0.0,25.1,6,236.53,0.219,0.473,1
CUST1011,28,Female,2022-06-10,2025-07-13,72,9,33.75,303.75,2,5,2,0,0,0,0,0,0.0,133.4,2,78.84,0.308,0.081,0
CUST1012,41,Female,2023-04-14,2024-12-16,281,13,20.23,262.99,2,4,3,0,0,1,1,0,0.0,68.7,4,65.05,0.506,0.564,1
CUST1013,53,Female,2020-11-24,2025-01-18,248,12,36.86,442.32,1,3,0,1,0,1,11,3,0.273,147.0,2,67.11,0.361,0.537,1
CUST1014,57,Male,2020-08-07,2025-08-08,46,19,45.15,857.85,2,4,5,0,0,1,0,0,0.0,98.6,4,149.42,0.592,0.0,0
