Date,Days_Since_Start,Smartphone_Users_Millions,Data_Consumption_PB
2014-01-01,0,203.38,166.86
2014-01-02,1,199.08,156.64
2014-01-03,2,200.1,144.94
2014-01-04,3,200.86,171.52
2014-01-05,4,198.48,165.1
2014-01-06,5,200.08,151.75
2014-01-07,6,200.09,160.44
2014-01-08,7,196.6,153.54
2014-01-09,8,202.16,157.6
2014-01-10,9,201.34,178.69
2014-01-11,10,198.9,155.83
2014-01-12,11,199.82,184.31
2014-01-13,12,201.19,159.92
2014-01-14,13,199.67,152.91
2014-01-15,14,199.72,161.42
2014-01-16,15,197.32,182.22
2014-01-17,16,201.35,159.92
2014-01-18,17,200.5,165.88
2014-01-19,18,200.82,138.51
2014-01-20,19,197.23,164.05
2014-01-21,20,203.6,149.63
2014-01-22,21,200.62,159.77
2014-01-23,22,199.56,173.67
2014-01-24,23,204.4,161.48
2014-01-25,24,200.27,167.85
2014-01-26,25,197.47,156.24
2014-01-27,26,199.58,156.84
2014-01-28,27,195.83,159.97
2014-01-29,28,202.52,173.4
2014-01-30,29,199.6,161.23
2014-01-31,30,198.96,159.57
2014-02-01,31,202.61,153.14
2014-02-02,32,197.18,141.55
2014-02-03,33,201.57,163.18
2014-02-04,34,196.38,155.95
2014-02-05,35,199.2,162.72
2014-02-06,36,198.13,169.56
2014-02-07,37,203.48,171.67
2014-02-08,38,204.1,155.25
2014-02-09,39,199.93,163.24
2014-02-10,40,202.28,165.37
2014-02-11,41,200.26,158.53
2014-02-12,42,201.77,139.74
2014-02-13,43,199.14,152.11
2014-02-14,44,197.24,157.66
2014-02-15,45,197.07,166.01
2014-02-16,46,201.46,158.88
2014-02-17,47,205.2,151.08
2014-02-18,48,201.26,175.44
2014-02-19,49,199.69,160.23
2014-02-20,50,204.57,159.97
2014-02-21,51,201.24,167.17
2014-02-22,52,200.98,168.58
2014-02-23,53,201.3,161.14
2014-02-24,54,200.55,155.51
2014-02-25,55,200.21,155.41
2014-02-26,56,197.97,167.24
2014-02-27,57,201.86,161.05
2014-02-28,58,200.68,166.46
2014-03-01,59,203.27,144.52
2014-03-02,60,200.16,156.18
2014-03-03,61,197.1,154.86
2014-03-04,62,200.73,156.88
2014-03-05,63,204.34,145.06
2014-03-06,64,200.19,156.72
2014-03-07,65,199.2,176.09
2014-03-08,66,198.6,162.97
2014-03-09,67,198.9,154.93
2014-03-10,68,200.42,154.24
2014-03-11,69,198.68,146.5
2014-03-12,70,204.05,166.62
2014-03-13,71,200.5,153.7
2014-03-14,72,201.3,158.21
2014-03-15,73,203.97,173.22
2014-03-16,74,204.12,173.87
2014-03-17,75,200.7,167.92
2014-03-18,76,201.8,146.08
2014-03-19,77,202.63,157.66
2014-03-20,78,200.78,173.61
2014-03-21,79,197.63,147.5
2014-03-22,80,202.51,175.79
2014-03-23,81,203.0,163.4
2014-03-24,82,202.06,172.39
2014-03-25,83,199.4,156.65
2014-03-26,84,200.87,150.35
2014-03-27,85,200.09,151.25
2014-03-28,86,200.69,176.44
2014-03-29,87,203.9,161.24
2014-03-30,88,204.38,152.64
2014-03-31,89,202.67,171.68
2014-04-01,90,202.45,147.92
2014-04-02,91,202.72,161.97
2014-04-03,92,201.36,165.91
2014-04-04,93,201.24,165.38
2014-04-05,94,200.06,165.74
2014-04-06,95,201.31,161.64
2014-04-07,96,205.96,141.67
2014-04-08,97,203.19,166.52
2014-04-09,98,200.79,161.72
2014-04-10,99,200.54,160.0
2014-04-11,100,199.77,166.28
2014-04-12,101,202.26,171.07
2014-04-13,102,202.31,165.59
2014-04-14,103,198.66,175.55
2014-04-15,104,202.53,185.61
2014-04-16,105,200.44,164.87
2014-04-17,106,204.44,161.76
2014-04-18,107,201.92,150.29
2014-04-19,108,205.06,171.53
2014-04-20,109,200.72,144.54
2014-04-21,110,201.07,179.47
2014-04-22,111,202.26,173.37
2014-04-23,112,203.79,159.57
2014-04-24,113,202.83,170.89
2014-04-25,114,199.24,152.52
2014-04-26,115,202.09,152.5
2014-04-27,116,201.78,170.94
2014-04-28,117,200.9,152.43
2014-04-29,118,200.47,164.75
2014-04-30,119,205.28,164.87
2014-05-01,120,201.02,178.4
2014-05-02,121,200.12,165.21
2014-05-03,122,203.1,180.27
2014-05-04,123,202.11,172.35
